iter	Passed	Remaining
355	850	1538
356	852	1534
357	854	1532
358	856	1529
359	858	1526
360	860	1523
361	862	1520
362	864	1517
363	866	1514
364	868	1511
365	870	1508
366	873	1506
367	875	1504
368	877	1501
369	879	1498
370	882	1495
371	884	1492
372	886	1489
373	888	1487
374	890	1484
375	892	1481
376	894	1478
377	896	1475
378	899	1473
379	901	1470
380	904	1468
381	906	1466
382	908	1463
383	910	1460
384	913	1458
385	915	1455
386	917	1453
387	919	1450
388	921	1447
389	923	1444
390	925	1441
391	927	1439
392	930	1436
393	932	1434
394	934	1431
395	937	1429
396	939	1426
397	941	1423
398	943	1420
399	945	1417
400	947	1415
401	949	1412
402	951	1409
403	953	1407
404	955	1404
405	957	1401
406	960	1399
407	962	1396
408	964	1393
409	966	1391
410	968	1388
411	970	1385
412	973	1383
413	975	1381
414	978	1379
415	980	1376
416	983	1374
417	985	1372
418	987	1369
419	989	1366
420	991	1363
421	993	1360
422	995	1357
423	997	1354
424	999	1352
425	1001	1349
426	1003	1346
427	1005	1343
428	1007	1341
429	1010	1339
430	1012	1336
431	1014	1333
432	1016	1330
433	1018	1328
434	1020	1325
435	1022	1322
436	1024	1319
437	1026	1317
438	1028	1314
439	1030	1311
440	1032	1308
441	1034	1305
442	1036	1302
443	1038	1300
444	1040	1298
445	1042	1295
446	1044	1292
447	1047	1290
448	1049	1288
449	1051	1285
450	1053	1282
451	1055	1279
452	1057	1277
453	1059	1274
454	1061	1271
455	1063	1268
456	1065	1266
457	1067	1263
458	1069	1260
459	1071	1257
460	1073	1255
461	1075	1252
462	1077	1249
463	1080	1247
464	1082	1245
465	1084	1242
466	1086	1239
467	1088	1237
468	1090	1234
469	1092	1231
470	1094	1228
471	1095	1225
472	1097	1223
473	1099	1220
474	1101	1217
475	1103	1214
476	1105	1212
477	1107	1209
478	1109	1207
479	1111	1204
480	1113	1201
481	1115	1198
482	1117	1196
483	1119	1193
484	1121	1190
485	1123	1187
486	1125	1185
487	1126	1182
488	1128	1179
489	1130	1176
490	1132	1174
491	1134	1171
492	1136	1168
493	1138	1165
494	1140	1163
495	1142	1160
496	1144	1157
497	1145	1155
498	1148	1152
499	1150	1150
500	1152	1147
501	1154	1145
502	1156	1142
503	1158	1139
504	1159	1136
505	1161	1134
506	1163	1131
507	1165	1128
508	1167	1126
509	1170	1124
510	1172	1121
511	1173	1118
512	1175	1116
513	1178	1114
514	1180	1111
515	1182	1109
516	1184	1106
517	1186	1103
518	1188	1101
519	1190	1098
520	1191	1095
521	1194	1093
522	1195	1090
523	1197	1088
524	1199	1085
525	1201	1083
526	1203	1080
527	1206	1078
528	1208	1075
529	1210	1073
530	1211	1070
531	1214	1068
532	1216	1065
533	1218	1062
534	1219	1060
535	1221	1057
536	1223	1055
537	1225	1052
538	1227	1050
539	1229	1047
540	1231	1044
541	1233	1042
542	1235	1039
543	1237	1036
544	1239	1034
545	1242	1032
546	1244	1030
547	1246	1028
548	1249	1026
549	1251	1023
550	1252	1021
551	1254	1018
552	1257	1016
553	1258	1013
554	1261	1011
555	1262	1008
556	1264	1005
557	1266	1003
558	1269	1001
559	1271	998
560	1273	996
561	1275	994
562	1277	991
563	1279	988
564	1281	986
565	1283	983
566	1285	981
567	1287	979
568	1289	976
569	1291	973
570	1292	971
571	1294	968
572	1296	966
573	1298	963
574	1300	961
575	1302	958
576	1304	956
577	1306	954
578	1308	951
579	1310	949
580	1312	946
581	1314	944
582	1316	941
583	1318	939
584	1320	936
585	1322	934
586	1324	931
587	1326	929
588	1328	927
589	1330	924
590	1333	922
591	1335	920
592	1336	917
593	1338	915
594	1340	912
595	1342	910
596	1345	908
597	1347	905
598	1349	903
599	1351	900
600	1353	898
601	1355	896
602	1358	894
603	1361	892
604	1363	890
605	1365	887
606	1367	885
607	1369	883
608	1371	880
609	1373	878
610	1375	875
611	1377	873
612	1379	870
613	1381	868
614	1384	866
615	1386	864
616	1388	861
617	1390	859
618	1392	857
619	1393	854
620	1396	852
621	1398	849
622	1400	847
623	1402	845
624	1405	843
625	1407	840
626	1409	838
627	1411	836
628	1413	833
629	1415	831
630	1417	828
631	1419	826
632	1421	824
633	1423	822
634	1425	819
635	1427	817
636	1430	814
637	1432	812
638	1434	810
639	1436	808
640	1438	805
641	1441	803
642	1443	801
643	1445	798
644	1447	796
645	1449	794
646	1452	792
647	1454	790
648	1456	787
649	1458	785
650	1460	783
651	1462	780
652	1464	778
653	1467	776
654	1469	773
655	1471	771
656	1473	769
657	1475	767
658	1477	764
659	1480	762
660	1482	760
661	1484	757
662	1486	755
663	1488	753
664	1490	750
665	1493	748
666	1495	746
667	1497	744
668	1499	742
669	1501	739
670	1503	737
671	1505	734
672	1507	732
673	1509	730
674	1511	727
675	1513	725
676	1516	723
677	1518	721
678	1520	718
679	1523	716
680	1525	714
681	1528	712
682	1530	710
683	1532	707
684	1534	705
685	1536	703
686	1538	701
687	1540	698
688	1543	696
689	1545	694
690	1547	691
691	1549	689
692	1552	687
693	1554	685
694	1556	683
695	1558	680
696	1560	678
697	1562	676
698	1564	673
699	1566	671
700	1568	668
701	1570	666
702	1572	664
703	1575	662
704	1576	659
705	1578	657
706	1580	655
707	1583	652
708	1585	650
709	1587	648
710	1589	646
711	1591	643
712	1594	641
713	1596	639
714	1598	637
715	1600	634
716	1602	632
717	1604	630
718	1606	627
719	1609	625
720	1610	623
721	1612	621
722	1614	618
723	1616	616
724	1619	614
725	1620	611
726	1622	609
727	1625	607
728	1626	604
729	1629	602
730	1631	600
731	1632	597
732	1634	595
733	1636	593
734	1638	590
735	1640	588
736	1643	586
737	1645	584
738	1647	581
739	1649	579
740	1651	577
741	1653	574
742	1655	572
743	1658	570
744	1660	568
745	1662	566
746	1664	563
747	1666	561
748	1668	559
749	1670	556
750	1672	554
751	1674	552
752	1676	550
753	1679	547
754	1681	545
755	1684	543
756	1686	541
757	1688	538
758	1690	536
759	1692	534
760	1694	532
761	1696	529
762	1698	527
763	1700	525
764	1702	522
765	1704	520
766	1707	518
767	1709	516
768	1711	514
769	1713	511
770	1715	509
771	1717	507
772	1719	504
773	1721	502
774	1722	500
775	1724	497
776	1726	495
777	1728	493
778	1730	490
779	1732	488
780	1734	486
781	1736	484
782	1738	481
783	1740	479
784	1742	477
785	1745	475
786	1747	472
787	1749	470
788	1751	468
789	1753	466
790	1755	463
791	1758	461
792	1760	459
793	1762	457
794	1764	454
795	1766	452
796	1768	450
797	1770	448
798	1771	445
799	1773	443
800	1775	441
801	1777	438
802	1779	436
803	1781	434
804	1783	432
805	1785	429
806	1787	427
807	1789	425
808	1791	422
809	1793	420
810	1795	418
811	1797	416
812	1799	413
813	1801	411
814	1803	409
815	1805	407
816	1808	405
817	1810	402
818	1812	400
819	1814	398
820	1816	396
821	1818	393
822	1820	391
823	1822	389
824	1824	386
825	1826	384
826	1828	382
827	1830	380
828	1832	378
829	1834	375
830	1837	373
831	1839	371
832	1841	369
833	1843	366
834	1845	364
835	1847	362
836	1849	360
837	1851	358
838	1854	355
839	1856	353
840	1858	351
841	1860	349
842	1861	346
843	1864	344
844	1866	342
845	1868	340
846	1870	337
847	1872	335
848	1874	333
849	1877	331
850	1879	329
851	1881	326
852	1883	324
853	1885	322
854	1888	320
855	1890	318
856	1892	315
857	1894	313
858	1896	311
859	1898	309
860	1901	306
861	1903	304
862	1905	302
863	1907	300
864	1909	298
865	1911	295
866	1913	293
867	1915	291
868	1917	289
869	1920	286
870	1922	284
871	1924	282
872	1926	280
873	1928	278
874	1930	275
875	1933	273
876	1935	271
877	1936	269
878	1939	266
879	1941	264
880	1943	262
881	1945	260
882	1947	258
883	1949	255
884	1951	253
885	1953	251
886	1955	249
887	1957	246
888	1959	244
889	1961	242
890	1963	240
891	1965	238
892	1967	235
893	1969	233
894	1972	231
895	1974	229
896	1976	226
897	1979	224
898	1981	222
899	1983	220
900	1985	218
901	1987	215
902	1989	213
903	1991	211
904	1993	209
905	1995	207
906	1998	204
907	2000	202
908	2002	200
909	2004	198
910	2007	196
911	2010	193
912	2012	191
913	2014	189
914	2016	187
915	2018	185
916	2020	182
917	2024	180
918	2026	178
919	2029	176
920	2031	174
921	2033	172
922	2035	169
923	2037	167
924	2039	165
925	2041	163
926	2044	160
927	2046	158
928	2048	156
929	2050	154
930	2051	152
931	2053	149
932	2055	147
933	2057	145
934	2059	143
935	2060	140
936	2062	138
937	2064	136
938	2066	134
939	2068	132
940	2070	129
941	2072	127
942	2074	125
943	2076	123
944	2079	121
945	2081	118
946	2083	116
947	2085	114
948	2087	112
949	2089	109
950	2091	107
951	2093	105
952	2095	103
953	2097	101
954	2099	98
955	2101	96
956	2102	94
957	2104	92
958	2106	90
959	2108	87
960	2110	85
961	2112	83
962	2115	81
963	2117	79
964	2119	76
965	2121	74
966	2123	72
967	2125	70
968	2127	68
969	2129	65
970	2130	63
971	2132	61
972	2134	59
973	2136	57
974	2138	54
975	2140	52
976	2142	50
977	2144	48
978	2146	46
979	2148	43
980	2149	41
981	2151	39
982	2153	37
983	2155	35
984	2157	32
985	2160	30
986	2161	28
987	2164	26
988	2166	24
989	2168	21
990	2170	19
991	2172	17
992	2175	15
993	2177	13
994	2179	10
995	2181	8
996	2183	6
997	2185	4
998	2187	2
999	2189	0
